1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
596	-0.392440	36.320766	0.028891	1.7
597	-0.063099	36.293451	0.014874	1.7
598	-0.310872	36.266190	0.011916	1.7
599	-0.075742	36.238983	0.015216	1.8
600	-0.226114	36.211831	0.009718	2.1
601	-0.242745	36.184733	0.033262	2.1
602	-0.191904	36.157689	0.032061	1.8
603	-0.148758	36.130699	0.015149	2.0
604	-0.117291	36.103763	0.020024	1.8
605	-0.254163	36.076880	0.017742	1.9
606	-0.233863	36.050050	0.015946	1.8
607	-0.236685	36.023274	0.015195	1.8
608	-0.175861	35.996550	0.020925	2.1
609	-0.272132	35.969880	0.014584	2.2
610	-0.195307	35.943262	0.013776	2.0
611	-0.116189	35.916696	0.018485	2.1
612	-0.293757	35.890183	0.032947	2.2
613	-0.180028	35.863721	0.009661	1.8
614	-0.251343	35.837312	0.015659	1.9
615	-0.251282	35.810955	0.037285	2.2
616	-0.150100	35.784649	0.028806	2.2
617	-0.444183	35.758395	0.034612	2.3
618	-0.102881	35.732192	0.025322	2.0
619	-0.182517	35.706040	0.017179	2.0
620	-0.122948	35.679939	0.016826	2.0
621	-0.262601	35.653889	0.021304	1.9
622	-0.263765	35.627889	0.035883	1.8
623	-0.384580	35.601940	0.030052	2.0
624	-0.165332	35.576042	0.025438	2.2
625	-0.113787	35.550193	0.023238	2.1
626	-0.254095	35.524395	0.026591	3.1
627	-0.080780	35.498646	0.016785	2.7
628	-0.184284	35.472948	0.020682	2.8
