1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
414	-0.176601	4.068021	0.409091	0.027723	2.7
415	-0.219463	4.077847	0.408931	0.023151	2.5
416	-0.196573	4.087673	0.408771	0.024121	2.8
417	-0.139575	4.097499	0.408611	0.023280	2.3
418	-0.219511	4.107325	0.408451	0.029268	2.4
419	-0.211254	4.117151	0.408291	0.026576	2.5
420	-0.110722	4.126977	0.408132	0.013847	2.2
421	-0.165771	4.136803	0.407972	0.025110	2.5
422	-0.271704	4.146630	0.407813	0.025268	2.2
423	-0.189719	4.156456	0.407653	0.033427	2.4
424	-0.207859	4.166282	0.407494	0.030085	2.2
425	-0.159985	4.176108	0.407335	0.015110	2.3
426	-0.235493	4.185934	0.407176	0.011925	3.3
427	-0.100836	4.195760	0.407017	0.026080	2.2
428	-0.229699	4.205586	0.406859	0.029227	2.3
429	-0.248574	4.215413	0.406700	0.039975	2.2
430	-0.179437	4.225239	0.406542	0.014525	2.2
431	-0.126857	4.235065	0.406383	0.013157	2.9
432	-0.178035	4.244891	0.406225	0.016318	2.2
433	-0.233939	4.254717	0.406067	0.029701	2.5
434	-0.223753	4.264543	0.405909	0.014754	2.5
435	-0.200068	4.274369	0.405752	0.019855	2.2
436	-0.201776	4.284196	0.405594	0.008730	2.5
437	-0.205219	4.294022	0.405436	0.016838	2.2
438	-0.280382	4.303848	0.405279	0.027687	2.5
439	-0.158390	4.313674	0.405122	0.013602	2.3
440	-0.250020	4.323500	0.404964	0.031028	2.4
441	-0.193043	4.333326	0.404807	0.016689	2.5
442	-0.264769	4.343152	0.404650	0.020718	2.3
443	-0.169516	4.352979	0.404493	0.051535	2.7
444	-0.209256	4.362805	0.404337	0.012385	2.6
445	-0.246903	4.372631	0.404180	0.045898	2.6
446	-0.229930	4.382457	0.404024	0.022201	2.2
447	-0.231140	4.392283	0.403867	0.017417	2.3
448	-0.196319	4.402109	0.403711	0.009209	2.8
449	-0.142195	4.411935	0.403555	0.038779	2.5
450	-0.227994	4.421761	0.403399	0.033336	2.8
451	-0.212520	4.431588	0.403243	0.040360	3.1
452	-0.243784	4.441414	0.403087	0.045396	2.3
453	-0.231441	4.451240	0.402932	0.031907	2.5
454	-0.198032	4.461066	0.402776	0.020752	2.2
455	-0.216062	4.470892	0.402621	0.029071	2.3
456	-0.252427	4.480718	0.402466	0.027174	2.4
457	-0.147701	4.490544	0.402311	0.025028	2.7
458	-0.124372	4.500371	0.402155	0.012656	2.5
459	-0.256095	4.510197	0.402001	0.040153	2.2
460	-0.240388	4.520023	0.401846	0.027414	2.5
461	-0.226372	4.529849	0.401691	0.027921	2.1
462	-0.244157	4.539675	0.401537	0.012135	2.3
